ID,item_cnt_month
0,1.1737052
1,0.22484493
2,1.5163414
3,0.410492
4,0.09605706
5,0.40232062
6,1.1261488
7,0.17208642
8,2.802515
9,0.5221379
10,2.9461417
11,0.60404575
12,0.40836537
13,0.62746745
14,2.7759798
15,1.8879062
16,0.56961524
17,0.37327978
18,2.031413
19,0.09175563
20,0.69659775
21,0.2719821
22,0.7951798
23,1.1011655
24,1.4704789
25,0.308346
26,0.14425996
27,0.86383665
28,0.7334571
29,2.1128802
30,1.1181884
31,0.29302764
32,0.9558517
33,0.9735373
34,0.4027145
35,0.3330078
36,0.10828674
37,1.0850697
38,0.5239172
39,0.17940024
40,0.6958512
41,2.3298862
42,3.3537967
43,4.426532
44,0.9976375
45,0.5865642
46,1.265371
47,0.35044307
48,0.48968825
49,1.1485407
50,2.9588604
51,0.72679514
52,0.25619978
53,0.22531137
54,8.725418
55,4.3592434
56,1.3600525
57,5.2144628
58,6.350443
59,8.755543
60,6.9044447
61,0.7122209
62,0.7279721
63,0.288037
64,0.1675213
65,0.058769286
66,1.0354015
67,0.23110789
68,1.0742482
69,0.16330981
70,0.1577853
71,0.13349009
72,0.3549615
73,1.8947802
74,0.5440718
75,0.40653569
76,0.096937895
77,0.05839604
78,0.6746291
79,2.036687
80,3.1746135
81,5.6340756
82,3.4137678
83,1.2139997
84,2.568585
85,1.6299417
86,0.92969435
87,0.34180197
88,3.4719846
89,0.6246798
90,0.5050396
91,0.34156632
92,3.510984
93,0.6132862
94,0.95460176
95,0.09976184
96,0.07968205
97,1.0418091
98,0.89995587
99,2.0818148
100,0.6791579
101,0.5376865
102,0.29246283
103,0.16035491
104,0.14229083
105,0.07436025
106,0.07292396
107,0.57484
108,0.2802591
109,0.31564453
110,0.30562183
111,0.12366247
112,0.09420067
113,0.043533206
114,0.30684835
115,0.4397676
116,0.14832121
117,0.1307624
118,9.312915
119,0.6400325
120,0.47214225
121,0.11395723
122,0.15816322
123,0.43610546
124,1.401291
125,1.2264926
126,0.2595071
127,0.14093071
128,0.065713644
129,0.21694893
130,0.1158309
131,0.08987397
132,0.043533206
133,0.043533206
134,0.066405356
135,0.0649457
136,0.23690003
137,0.08844316
138,0.98568004
139,0.18731329
140,0.41874897
141,0.4042697
142,0.18114763
143,0.35208824
144,0.12274104
145,0.058264494
146,0.043533206
147,0.18595925
148,0.100521445
149,0.07901895
150,0.072879314
151,0.057062864
152,0.04629004
153,0.42180347
154,0.12523663
155,0.32910395
156,0.36872977
157,0.1838358
158,0.17503482
159,0.10935575
160,0.062408805
161,0.22802883
162,0.08844316
163,0.430489
164,0.74277526
165,0.2648665
166,0.5616737
167,0.13588515
168,0.10251641
169,0.0847888
170,0.3042909
171,0.96703994
172,0.2646204
173,1.6724379
174,2.5056279
175,3.5156221
176,2.0802956
177,0.80121946
178,0.20285779
179,0.113972485
180,0.06597185
181,0.27909812
182,0.08539051
183,0.17618215
184,0.26480386
185,0.1743541
186,0.09852159
187,0.23866287
188,0.14669597
189,0.114803255
190,0.043533087
191,1.3009856
192,0.9511442
193,0.2588823
194,0.034947395
195,0.11319131
196,0.06270486
197,3.8501575
198,0.7180073
199,0.5320739
200,0.21303084
201,0.043533206
202,0.21337348
203,1.7959311
204,0.29290587
205,0.24091867
206,0.05994773
207,0.044779122
208,0.30485308
209,0.43902633
210,0.36251202
211,0.13834131
212,0.08055836
213,0.06641734
214,0.08621681
215,0.7567853
216,0.4272425
217,0.4177444
218,3.3479123
219,0.6132107
220,0.5456475
221,0.19996312
222,0.035374403
223,1.294382
224,3.8814301
225,1.3606138
226,0.4307218
227,0.15855592
228,0.29780942
229,0.11028403
230,0.08259499
231,0.29775104
232,0.19478118
233,0.2015801
234,0.089446604
235,0.14746335
236,0.29361677
237,0.8479922
238,0.24137461
239,0.5735317
240,0.32896549
241,0.16865009
242,0.09440923
243,0.06286889
244,0.043533206
245,0.29051164
246,1.3398446
247,0.8245554
248,0.91828233
249,0.30868167
250,0.35011625
251,0.21169704
252,0.440144
253,1.9018092
254,0.88872313
255,0.38752633
256,0.17925549
257,0.23438233
258,0.48732847
259,0.35061067
260,0.24322212
261,0.09030318
262,0.2524587
263,0.08357608
264,0.08097935
265,0.30226266
266,0.08413404
267,0.2900576
268,0.10969162
269,0.06115806
270,1.8112166
271,0.37321454
272,0.3505828
273,0.09369826
274,12.512552
275,0.65987635
276,0.39981514
277,2.0305514
278,0.38551635
279,0.43434766
280,0.3144731
281,0.301393
282,0.24356103
283,0.33714372
284,0.31257424
285,0.52968675
286,0.1678657
287,0.8031597
288,0.5541612
289,0.16042808
290,0.072856486
291,0.052286327
292,0.47745466
293,0.25898826
294,0.39141575
295,2.2429519
296,0.4832073
297,0.32817084
298,0.13176042
299,0.12624502
300,0.026795447
301,0.4436909
302,1.3347461
303,0.5616134
304,0.13449633
305,0.09210777
306,0.24184096
307,0.22879562
